"time","BT","BS","SST","SSS","strat","PP","detBac","gfMAB","benthos","copepod","GZ","commSF","commPel","commGF","habDem","habNear","habPel","inverts","ground","forage","PS","recParticip"
1,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1011.85184456329,22227.8860294933,10.598062755669,11.4318197604612,3.31835675683328,1.98601013455894,6.82641016570357,8.93989849524481,11.2480845325813,3826205708.74168,0.00617369780264582,28265091120.6802,4.88619481546054e-06,5.05039240886661e-46,0.999999998033785,"LowIncreasing",30.5496039397034
2,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1048.06109636126,43870.3447835667,10.6881937283468,11.4263223047723,3.68138376545265,1.97606310585672,6.81697103111675,9.27720327993477,11.0725472710423,4396423939.20174,0.00612209732678278,27108973341.41,1.95029447166789e-07,9.9042016462364e-42,1.75013002376155e-09,"LowIncreasing",30.5558298704892
3,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1145.82067406949,69794.4931116559,10.6968893834017,11.4222253231529,4.3356108592403,1.97492167646108,6.86515913926095,9.19441748897002,11.0099173942102,4571025698.19867,0.0060765465370875,27655558934.7273,6.45081735316316e-09,1.6660746150875e-40,3.03787705674359e-76,"LowIncreasing",30.5661023513972
4,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1218.65782120402,95752.5550493925,10.6963500790826,11.4193537086361,4.3880627373755,1.98112222390919,6.83604174255695,9.59798326771273,10.8778016750439,4565736915.28054,0.00604602371737374,28265085528.6973,1.83623991738445e-10,3.55059934962899e-40,4.42677231775257e-178,"LowIncreasing",30.5755828344914
5,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1191.0506998751,133790.830012056,10.7004901038979,11.417682564055,4.57572781959122,1.99376556439814,6.8724281020537,10.1986036771797,10.7662017360967,4537526736.56678,0.00602487933657762,27943417534.5518,4.39769327522016e-12,6.28019106260273e-42,1.43404866116173e-275,"HighIncreasing",30.5856711290978
6,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1161.2999711643,180244.254136383,10.7062844113837,11.4170989692325,5.07160007614255,2.01952742311766,7.02331676926948,10.2763787262133,10.74697244654,4494007547.18314,0.00601200341021088,28180018049.4808,9.07247690522191e-14,1.80493826300633e-45,0,"HighIncreasing",30.5951196120448
7,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1209.53166118551,219762.91568759,10.685021651317,11.4176134577625,5.1456867857167,2.05827917472416,7.3935704703924,9.97082335853499,10.9349268286784,4277109938.12577,0.00600589533906393,31157272107.3998,1.71501079586443e-15,1.15963935206113e-49,0,"HighIncreasing",30.6047609260104
8,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1279.36620754334,251031.937894545,10.6643830411751,11.4188835979616,5.02293812282463,2.09347911688457,7.41654797519769,10.1149245195613,10.8196019938962,4237304843.86506,0.00600669027161336,32161893141.4928,3.56242370563449e-17,4.66396177607185e-51,0,"HighIncreasing",30.6143663816059
9,8.92857142857143,34.3842857142857,8.34285714285714,33.9942857142857,0.0809345434577153,1253.0358409512,279211.610619119,10.636662880382,11.420852153313,4.87314827286148,2.12351683154812,8.00495062912617,9.95398228042784,10.8047040693952,4197544601.51894,0.00601310962895885,33868572596.5526,6.41146212625868e-19,1.33044343540224e-54,0,"HighIncreasing",30.6241685546263
10,8.32857142857143,34.52,8.9,33.9,0.882725388256404,1212.40418170823,303731.578802043,10.5880368245142,11.4231240567815,4.75908149963144,2.14705186169841,7.91673192507645,10.4216834765687,10.8000645262302,4171464195.78293,0.00602542385066432,35720999501.4083,1.99996690848416e-20,1.03896968522978e-58,0,"HighIncreasing",30.6328986623704
