"IDnum"	"BT2"	"BS2"	"SST2"	"SSS2"	"strat2"	"PP2"	"detBac2"	"gfMAB2"	"benthos2"	"copepod2"	"GZ2"	"commSF2"	"commPel2"	"commGF2"	"habDem2"	"habNear2"	"habPel2"	"inverts2"	"ground2"	"forage2"	"PS2"	"recParticip2"	"habNearPct2"	"BT1"	"BS1"	"SST1"	"SSS1"	"strat1"	"PP1"	"detBac1"	"gfMAB1"	"benthos1"	"copepod1"	"GZ1"	"commSF1"	"commPel1"	"commGF1"	"habDem1"	"habNear1"	"habPel1"	"inverts1"	"ground1"	"forage1"	"PS1"	"recParticip1"	"habNearPct1"
1	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.0241823448967791	-2.29834613105835	1.51476134633213	-0.687692377489702	-1.06891214715021	-2.01991006128016	-2.09651002950155	-2.72325312446198	2.22568443542688	0.66241258004638	*	-1.79116701286054	4.88619481546054e-06	5.05039240886661e-46	0.999999998033785	"LowIncreasing"	-1.8399551403071	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
2	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.175247895173341	-2.19169633575145	1.66673485094223	-1.18520830376678	-0.382767906271594	-2.17616815976781	-2.10664128019841	-2.03894544561113	1.02882892114659	1.63944153928803	-0.418782641696891	-2.09746807300407	1.95029447166789e-07	9.9042016462364e-42	1.75013002376155e-09	"LowIncreasing"	-1.78407406827508	-0.418782641696891	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.0241823448967791	-2.29834613105835	1.51476134633213	-0.687692377489702	-1.06891214715021	-2.01991006128016	-2.09651002950155	-2.72325312446198	2.22568443542688	0.66241258004638	*	-1.79116701286054	4.88619481546054e-06	5.05039240886661e-46	0.999999998033785	"LowIncreasing"	-1.8399551403071	*
3	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.583102343083417	-2.06394721333826	1.68139694915677	-1.55598229825886	0.853763100984148	-2.19409889991746	-2.05491982207894	-2.20689726553267	0.60180326979484	1.93860941180045	-0.372714062249513	-1.95265605670764	6.45081735316316e-09	1.6660746150875e-40	3.03787705674359e-76	"LowIncreasing"	-1.69187303596095	-0.372714062249513	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.175247895173341	-2.19169633575145	1.66673485094223	-1.18520830376678	-0.382767906271594	-2.17616815976781	-2.10664128019841	-2.03894544561113	1.02882892114659	1.63944153928803	-0.418782641696891	-2.09746807300407	1.95029447166789e-07	9.9042016462364e-42	1.75013002376155e-09	"LowIncreasing"	-1.78407406827508	-0.418782641696891
4	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.886980030859045	-1.93603097130303	1.68048760617522	-1.81586141999888	0.952900501924663	-2.09669436004639	-2.08617222588088	-1.3881624777386	-0.2989936642633	1.92954745307285	-0.251468869173843	-1.7911684943967	1.83623991738445e-10	3.55059934962899e-40	4.42677231775257e-178	"LowIncreasing"	-1.60678060931633	-0.251468869173843	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.583102343083417	-2.06394721333826	1.68139694915677	-1.55598229825886	0.853763100984148	-2.19409889991746	-2.05491982207894	-2.20689726553267	0.60180326979484	1.93860941180045	-0.372714062249513	-1.95265605670764	6.45081735316316e-09	1.6660746150875e-40	3.03787705674359e-76	"LowIncreasing"	-1.69187303596095	-0.372714062249513
5	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.771802699983104	-1.74858580692992	1.68746827066447	-1.96709884532057	1.30759949764412	-1.89807983881813	-2.04711786908398	-0.169652759145155	-1.05990904571138	1.88121128969468	-0.175015025682701	-1.87639099454993	4.39769327522016e-12	6.28019106260273e-42	1.43404866116173e-275	"HighIncreasing"	-1.51623274796424	-0.175015025682701	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.886980030859045	-1.93603097130303	1.68048760617522	-1.81586141999888	0.952900501924663	-2.09669436004639	-2.08617222588088	-1.3881624777386	-0.2989936642633	1.92954745307285	-0.251468869173843	-1.7911684943967	1.83623991738445e-10	3.55059934962899e-40	4.42677231775257e-178	"LowIncreasing"	-1.60678060931633	-0.251468869173843
6	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.647682206444552	-1.51967243666732	1.69723828855337	-2.01991377191881	2.244829744887	-1.49338621848896	-1.88516542515839	-0.0118664907836955	-1.19101899376373	1.80664420986591	-0.106913453176571	-1.81370621463157	9.07247690522191e-14	1.80493826300633e-45	0	"HighIncreasing"	-1.43142753982433	-0.106913453176571	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.771802699983104	-1.74858580692992	1.68746827066447	-1.96709884532057	1.30759949764412	-1.89807983881813	-2.04711786908398	-0.169652759145155	-1.05990904571138	1.88121128969468	-0.175015025682701	-1.87639099454993	4.39769327522016e-12	6.28019106260273e-42	1.43404866116173e-275	"HighIncreasing"	-1.51623274796424	-0.175015025682701
7	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.848905552192645	-1.3249322173082	1.66138628264446	-1.97335291685299	2.38485835954374	-0.884634077485707	-1.48776320220946	-0.631762483686832	0.0904994526517644	1.4350053636853	-0.0508118753199116	-1.02491454425964	1.71501079586443e-15	1.15963935206113e-49	0	"HighIncreasing"	-1.3448915697452	-0.0508118753199116	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.647682206444552	-1.51967243666732	1.69723828855337	-2.01991377191881	2.244829744887	-1.49338621848896	-1.88516542515839	-0.0118664907836955	-1.19101899376373	1.80664420986591	-0.106913453176571	-1.81370621463157	9.07247690522191e-14	1.80493826300633e-45	0	"HighIncreasing"	-1.43142753982433	-0.106913453176571
8	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	1.14025634377269	-1.17084460389454	1.62658668134914	-1.85840610992683	2.15285554399772	-0.331677391271147	-1.46310089239392	-0.339416998246225	-0.695813169707753	1.36680212545021	0.00661771644552278	-0.758750929009802	3.56242370563449e-17	4.66396177607185e-51	0	"HighIncreasing"	-1.25867744779308	0.00661771644552278	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.848905552192645	-1.3249322173082	1.66138628264446	-1.97335291685299	2.38485835954374	-0.884634077485707	-1.48776320220946	-0.631762483686832	0.0904994526517644	1.4350053636853	-0.0508118753199116	-1.02491454425964	1.71501079586443e-15	1.15963935206113e-49	0	"HighIncreasing"	-1.3448915697452	-0.0508118753199116
9	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	1.03040565311444	-1.03198069928732	1.57984658902658	-1.68025321620601	1.86974315716688	0.140185746631859	-0.831554139583476	-0.665928850699507	-0.797390822987888	1.29867573782616	0.053420793126957	-0.306584431976955	6.41146212625868e-19	1.33044343540224e-54	0	"HighIncreasing"	-1.17069768131826	0.053420793126957	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	1.14025634377269	-1.17084460389454	1.62658668134914	-1.85840610992683	2.15285554399772	-0.331677391271147	-1.46310089239392	-0.339416998246225	-0.695813169707753	1.36680212545021	0.00661771644552278	-0.758750929009802	3.56242370563449e-17	4.66396177607185e-51	0	"HighIncreasing"	-1.25867744779308	0.00661771644552278
10	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.860889751586395	-0.911151101441914	1.49785621539538	-1.47464752831928	1.65414966778698	0.509898066685071	-0.926241401287294	0.282920778638235	-0.829024350662228	1.25398879112455	0.102342418080026	0.18419629553151	1.99996690848416e-20	1.03896968522978e-58	0	"HighIncreasing"	-1.09234027638086	0.102342418080026	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	1.03040565311444	-1.03198069928732	1.57984658902658	-1.68025321620601	1.86974315716688	0.140185746631859	-0.831554139583476	-0.665928850699507	-0.797390822987888	1.29867573782616	0.053420793126957	-0.306584431976955	6.41146212625868e-19	1.33044343540224e-54	0	"HighIncreasing"	-1.17069768131826	0.053420793126957
11	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.677868679895747	-0.802994626817754	1.42438155874546	-1.23669544753898	1.47523730500488	0.825792730129704	-0.610230972310732	-0.420285858370766	-0.0906249964560888	1.06279306050321	0.141093538371106	1.22078767543773	4.65154018237378e-22	2.8756232273466e-63	0	"LowIncreasing"	-1.01124591545373	0.141093538371106	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.860889751586395	-0.911151101441914	1.49785621539538	-1.47464752831928	1.65414966778698	0.509898066685071	-0.926241401287294	0.282920778638235	-0.829024350662228	1.25398879112455	0.102342418080026	0.18419629553151	1.99996690848416e-20	1.03896968522978e-58	0	"HighIncreasing"	-1.09234027638086	0.102342418080026
12	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.681667495197293	-0.696258395794126	1.26135507552792	-1.00176543551511	1.37366068967303	1.06972426683556	-0.458872691624369	0.59969960180475	0.383965688798299	0.805442068227862	0.180443784406803	0.673051782132069	1.5844986637211e-23	4.43287786042109e-66	0	"LowIncreasing"	-0.928166723845382	0.180443784406803	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.677868679895747	-0.802994626817754	1.42438155874546	-1.23669544753898	1.47523730500488	0.825792730129704	-0.610230972310732	-0.420285858370766	-0.0906249964560888	1.06279306050321	0.141093538371106	1.22078767543773	4.65154018237378e-22	2.8756232273466e-63	0	"LowIncreasing"	-1.01124591545373	0.141093538371106
13	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.535242371900196	-0.596205821145298	0.993800039711525	-0.747970437556209	1.25915882350042	1.30336542513629	-0.929222443395414	1.39302068055073	0.0333135067859655	0.625898873654959	0.207826051941584	0.543979257222333	6.27878347696916e-25	2.02014818102734e-67	0	"LowIncreasing"	-0.845129481586581	0.207826051941584	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.681667495197293	-0.696258395794126	1.26135507552792	-1.00176543551511	1.37366068967303	1.06972426683556	-0.458872691624369	0.59969960180475	0.383965688798299	0.805442068227862	0.180443784406803	0.673051782132069	1.5844986637211e-23	4.43287786042109e-66	0	"LowIncreasing"	-0.928166723845382	0.180443784406803
14	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.625500104576515	-0.520979964772051	0.847967397457281	-0.621961883741508	0.945432771445602	1.33603653128617	-0.910462347311347	-0.00377451531548474	0.426221459500303	0.878380164526902	0.204224202372583	0.455641264096865	9.1820030137831e-27	6.49217290326154e-70	0	"HighIncreasing"	-0.764161141112045	0.204224202372583	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.535242371900196	-0.596205821145298	0.993800039711525	-0.747970437556209	1.25915882350042	1.30336542513629	-0.929222443395414	1.39302068055073	0.0333135067859655	0.625898873654959	0.207826051941584	0.543979257222333	6.27878347696916e-25	2.02014818102734e-67	0	"LowIncreasing"	-0.845129481586581	0.207826051941584
15	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.932086197915359	-0.456970286696968	0.649012705777365	-0.497740999584828	0.623238418065773	1.32304833114892	-0.31779648142148	0.359759434408157	1.26404389355156	0.734396664305229	0.208445000987512	0.048640676925185	1.11264089147366e-28	4.30781347398206e-71	0	"HighIncreasing"	-0.684788577203418	0.208445000987512	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.625500104576515	-0.520979964772051	0.847967397457281	-0.621961883741508	0.945432771445602	1.33603653128617	-0.910462347311347	-0.00377451531548474	0.426221459500303	0.878380164526902	0.204224202372583	0.455641264096865	9.1820030137831e-27	6.49217290326154e-70	0	"HighIncreasing"	-0.764161141112045	0.204224202372583
16	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.886376371821711	-0.395595084107925	0.256150823649077	-0.372988147147781	0.36862460691983	1.27701529280741	-0.302250203012087	0.989902728580799	1.92593124893612	0.494146770834922	0.220382213853698	-0.409109395845134	3.75503699802773e-30	7.6782793878001e-69	0	"HighIncreasing"	-0.605206690797307	0.220382213853698	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	0.932086197915359	-0.456970286696968	0.649012705777365	-0.497740999584828	0.623238418065773	1.32304833114892	-0.31779648142148	0.359759434408157	1.26404389355156	0.734396664305229	0.208445000987512	0.048640676925185	1.11264089147366e-28	4.30781347398206e-71	0	"HighIncreasing"	-0.684788577203418	0.208445000987512
17	0.989949493661166	-0.989949493661166	-0.989949493661167	0.989949493661166	-0.989949493661167	1.17964816954959	-0.330794531802264	0.0862209521965134	-0.246356634045917	0.180644687389567	1.22005588629884	-0.433910784777485	0.0518409440858416	1.71658427459099	0.194869516493392	0.221623833062257	-0.600859374283015	1.10678685161928e-31	3.71732239357506e-63	0	"HighIncreasing"	-0.529238547803981	0.221623833062257	-0.989949493661166	0.989949493661166	0.989949493661167	-0.989949493661166	0.989949493661166	0.886376371821711	-0.395595084107925	0.256150823649077	-0.372988147147781	0.36862460691983	1.27701529280741	-0.302250203012087	0.989902728580799	1.92593124893612	0.494146770834922	0.220382213853698	-0.409109395845134	3.75503699802773e-30	7.6782793878001e-69	0	"HighIncreasing"	-0.605206690797307	0.220382213853698
