QNMnode,BDNnode
Winds,winds
SourceWaterProportions,pctLSW
SurfaceTemperature,SST
SurfaceSalinity,SSS
BottomTemperature,BT
BottomSalinity,BS
Stratification,strat
HabitatPelagic,habPel
HabitatNearshore,habNear
HabitatSeafloorDemersal,habDem
TidalForcing,tides
AirTemperature,AT
ForageFish,forage
Groundfish,ground
FishedInvertebrates,inverts
CopepodsMicronekton,copepod
PrimaryProduction,PP
DetritusBacteria,detBac
CommercialGroundfishFishery,commGF
ProtectedSpecies,PS
Benthos,benthos
GelatinousZooplankton,GZ
CommercialPelagicFishery,commPel
CommercialShellfishFishery,commSF
Precipitation,precip
RecreationalGroundfishFishery,recParticip
SocialCulturalValues,soccultvals
MidAtlanticGroundfish,gfMAB
Profits,profits
Employment,employment
Seafood,seafood
