"","node","baselineSSTAdj","baselineSSTTot","baselineSSTWeight","fishingNode1Adj","fishingNode2Adj","fishingNode3Adj","fishingNode1Tot","fishingNode2Tot","fishingNode3Tot","energyNode1Adj","energyNode2Adj","energyNode1Tot","energyNode2Tot","fishingSumAdj","fishingSumTot","fishingWeight","decFishSumAdj","decFishWeight","energySumAdj","energySumTot","energyWeight"
"1","Winds",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"2","SourceWaterProportions",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"3","SurfaceTemperature",12,72,0.2,0,0,0,0,0,0,0,0,0,0,12,72,0.166666666666667,12,0.166666666666667,12,72,0.166666666666667
"4","SurfaceSalinity",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"5","BottomTemperature",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"6","BottomSalinity",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"7","Stratification",12,72,0.2,0,0,0,0,0,0,0,0,0,0,12,72,0.166666666666667,12,0.166666666666667,12,72,0.166666666666667
"8","HabitatPelagic",24,144,0.2,0,0,0,0,0,0,0,0,0,0,24,144,0.166666666666667,24,0.166666666666667,24,144,0.166666666666667
"9","HabitatNearshore",24,144,0.2,0,0,0,0,0,0,12,0,72,0,24,144,0.166666666666667,24,0.166666666666667,12,216,0.0555555555555556
"10","HabitatSeafloorDemersal",64,296,0.2,-16,-4,-16,24,20,24,4,8,52,32,28,364,0.0769230769230769,100,0.274725274725275,52,380,0.136842105263158
"11","TidalForcing",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"12","AirTemperature",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"13","ForageFish",-204,412,0.5,36,6,36,40,18,72,-30,-6,58,18,-126,542,0.232472324723247,-282,0.520295202952029,-168,488,0.344262295081967
"14","Groundfish",132,252,0.5,-24,-6,-24,24,18,24,18,6,42,18,78,318,0.245283018867925,186,0.584905660377358,108,312,0.346153846153846
"15","FishedInvertebrates",-100,308,0.3,16,-2,16,24,30,24,-10,-2,54,22,-70,386,0.181347150259067,-130,0.336787564766839,-88,384,0.229166666666667
"16","CopepodsMicronekton",24,144,0.2,0,0,0,0,0,0,0,0,0,0,24,144,0.166666666666667,24,0.166666666666667,24,144,0.166666666666667
"17","PrimaryProduction",24,144,0.2,0,0,0,0,0,0,0,0,0,0,24,144,0.166666666666667,24,0.166666666666667,24,144,0.166666666666667
"18","DetritusBacteria",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"19","CommercialGroundfishFishery",-96,232,0.4,24,0,24,32,12,32,-12,0,36,12,-48,308,0.155844155844156,-144,0.467532467532468,-84,280,0.3
"20","ProtectedSpecies",96,232,0.4,-12,0,-24,40,12,32,12,0,36,12,60,316,0.189873417721519,132,0.417721518987342,84,280,0.3
"21","Benthos",24,144,0.2,0,0,0,0,0,0,0,0,0,0,24,144,0.166666666666667,24,0.166666666666667,24,144,0.166666666666667
"22","GelatinousZooplankton",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"23","CommercialPelagicFishery",0,0,1,0,0,12,0,0,72,0,0,0,0,12,72,0.166666666666667,-12,0.166666666666667,0,0,NA
"24","CommercialShellfishFishery",32,272,0.1,-8,4,-8,24,24,24,8,4,48,28,20,344,0.0581395348837209,44,0.127906976744186,20,348,0.0574712643678161
"25","Precipitation",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"26","RecreationalGroundfishFishery",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"27","SocialCulturalValues",-96,232,0.4,24,0,24,32,12,32,-12,0,36,12,-48,308,0.155844155844156,-144,0.467532467532468,-84,280,0.3
"28","MidAtlanticGroundfish",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
"29","Profits",-64,504,0.1,16,4,28,56,36,128,-4,4,84,40,-16,724,0.0220994475138122,-112,0.154696132596685,-64,628,0.101910828025478
"30","Employment",-64,504,0.1,16,4,28,56,36,128,-4,4,84,40,-16,724,0.0220994475138122,-112,0.154696132596685,-64,628,0.101910828025478
"31","Seafood",-64,504,0.1,16,4,16,56,36,56,-4,4,84,40,-28,652,0.0429447852760736,-100,0.153374233128834,-64,628,0.101910828025478
