,Air.Temperature,Protected.Species,Mid.Atlantic.Groundfish,Habitat..Seafloor...Demersal,Winds,Habitat..Pelagic,Cultural.Practices...Attachments,Recreational.Groundfish.Fishery,Detritus...Bacteria,Bottom.Temperature,Surface.Salinity,Stratification,Employment,Source.Water.Proportions,Commercial.Pelagic.Fishery,Seafood,Commercial.Shellfish.Fishery,Groundfish,Benthos,Primary.Production,Habitat..Nearshore,Profits,Commercial.Groundfish.Fishery,Fished.Invertebrates,Bottom.Salinity,Gelatinous.Zooplankton,Surface.Temperature,Copepods...Micronekton,Forage.Fish,Precipitation,Tidal.Forcing
Air.Temperature,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protected.Species,4816,70,0,68,5540,468,0,0,44,1004,1404,702,0,4816,82,0,56,52,96,278,234,0,118,44,1004,68,1404,138,68,0,702
Mid.Atlantic.Groundfish,128,0,128,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0
Habitat..Seafloor...Demersal,4112,36,0,96,4680,392,0,0,64,880,1176,588,0,4112,52,0,64,56,120,260,196,0,60,64,880,40,1176,76,40,0,588
Winds,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habitat..Pelagic,1536,0,0,0,1792,256,0,0,0,256,512,256,0,1536,0,0,0,0,0,0,0,0,0,0,256,0,512,0,0,0,256
Cultural.Practices...Attachments,4112,48,128,72,4696,384,256,128,44,840,1152,576,0,3984,60,0,60,56,100,236,192,0,80,44,840,44,1152,92,44,128,576
Recreational.Groundfish.Fishery,128,0,128,0,128,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0
Detritus...Bacteria,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottom.Temperature,256,0,0,0,256,0,0,0,0,256,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface.Salinity,256,0,0,0,256,0,0,0,0,0,256,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stratification,1024,0,0,0,1024,0,0,0,0,256,256,256,0,1024,0,0,0,0,0,0,0,0,0,0,256,0,256,0,0,0,256
Employment,11904,136,128,208,13680,1136,0,128,152,2480,3408,1704,256,11776,256,0,192,144,296,720,568,0,192,152,2480,136,3408,272,136,128,1704
Source.Water.Proportions,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial.Pelagic.Fishery,3696,52,0,48,4296,360,0,0,32,768,1080,540,0,3696,148,0,40,40,72,212,180,0,52,32,768,56,1080,108,56,0,540
Seafood,8208,84,128,160,9384,776,0,128,120,1712,2328,1164,0,8080,108,256,152,104,224,508,388,0,140,120,1712,80,2328,164,80,128,1164
Commercial.Shellfish.Fishery,4096,36,0,88,4688,392,0,0,76,872,1176,588,0,4096,48,0,92,48,124,272,196,0,60,76,872,36,1176,72,36,0,588
Groundfish,3104,34,0,52,3556,300,0,0,36,652,900,450,0,3104,46,0,48,44,80,186,150,0,58,36,652,36,900,70,36,0,450
Benthos,1536,0,0,0,1792,256,0,0,0,256,512,256,0,1536,0,0,0,0,256,256,0,0,0,0,256,0,512,0,0,0,256
Primary.Production,1536,0,0,0,1792,256,0,0,0,256,512,256,0,1536,0,0,0,0,0,256,0,0,0,0,256,0,512,0,0,0,256
Habitat..Nearshore,2048,0,0,0,2048,0,0,0,0,512,512,256,0,2048,0,0,0,0,0,0,256,0,0,0,512,0,512,0,0,0,256
Profits,11904,136,128,208,13680,1136,0,128,152,2480,3408,1704,0,11776,256,0,192,144,296,720,568,256,192,152,2480,136,3408,272,136,128,1704
Commercial.Groundfish.Fishery,3984,48,0,72,4568,384,0,0,44,840,1152,576,0,3984,60,0,60,56,100,236,192,0,80,44,840,44,1152,92,44,0,576
Fished.Invertebrates,4512,38,0,76,5180,436,0,0,80,948,1308,654,0,4512,54,0,116,60,140,298,218,0,62,80,948,40,1308,78,40,0,654
Bottom.Salinity,256,0,0,0,256,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0
Gelatinous.Zooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0
Surface.Temperature,256,0,0,0,256,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0
Copepods...Micronekton,1536,0,0,0,1792,256,0,0,0,256,512,256,0,1536,0,0,0,0,0,256,0,0,0,0,256,0,512,256,0,0,256
Forage.Fish,3696,52,0,48,4256,360,0,0,32,768,1080,540,0,3696,108,0,40,40,72,212,180,0,52,32,768,56,1080,108,56,0,540
Precipitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0
Tidal.Forcing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
