,Air.Temperature,Protected.Species,Mid.Atlantic.Groundfish,Habitat..Seafloor...Demersal,Winds,Habitat..Pelagic,Cultural.Practices...Attachments,Recreational.Groundfish.Fishery,Detritus...Bacteria,Bottom.Temperature,Surface.Salinity,Stratification,Employment,Source.Water.Proportions,Commercial.Pelagic.Fishery,Seafood,Commercial.Shellfish.Fishery,Groundfish,Benthos,Primary.Production,Habitat..Nearshore,Profits,Commercial.Groundfish.Fishery,Fished.Invertebrates,Bottom.Salinity,Gelatinous.Zooplankton,Surface.Temperature,Copepods...Micronekton,Forage.Fish,Precipitation,Tidal.Forcing
Air.Temperature,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Protected.Species,0.2,0.8,1,0,0.3,0.2,1,1,0,0.2,0.2,0.2,1,0.2,0.7,1,0,0,0,0.2,0.2,1,0.5,0,0.2,0,0.2,0.4,0,1,0.2
Mid.Atlantic.Groundfish,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Habitat..Seafloor...Demersal,0.1,0.7,1,0,0.1,0.1,1,1,0,0.1,0.1,0.1,1,0.1,0.5,1,0,0,0,0.1,0.1,1,0.4,0,0.1,0,0.1,0.3,0,1,0.1
Winds,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Habitat..Pelagic,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
Cultural.Practices...Attachments,0.2,0.8,0,0,0.2,0.2,0,0,0,0.2,0.2,0.2,1,0.2,0.6,1,0,0,0,0.2,0.2,1,0.4,0,0.2,0,0.2,0.4,0,0,0.2
Recreational.Groundfish.Fishery,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Detritus...Bacteria,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bottom.Temperature,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Surface.Salinity,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
